code,population,area,density
E05005348,4156,162.43,25.6
E05005349,3646,148.98,24.5
E05005350,3679,411.3,8.9
E05005351,4402,791.97,5.6
E05005352,4079,2460.97,1.7
E05005353,3730,210.91,17.7
E05005354,3670,148.94,24.6
E05005355,3792,233.08,16.3
E05005356,3504,79.5,44.1
E05005357,6310,269.13,23.4
E05005358,5471,3947.02,1.4
E05005359,3723,710.36,5.2
E05005360,4350,134.67,32.3
E05005361,4172,358.72,11.6
E05005362,5010,856.94,5.8
E05005363,6720,932.42,7.2
E05005364,4467,107.68,41.5
E05005365,2057,2801.35,0.7
E05005366,4041,1862.76,2.2
E05005367,5517,289.66,19
E05005368,3909,83,47.1
E05005369,4146,3077.8,1.3
E05005370,3784,1855.88,2
E05005371,2049,1262.85,1.6
E05005372,3865,3989.47,1
E05005373,5723,384.6,14.9
E05005374,4061,303.04,13.4
E05005375,6458,373.43,17.3
E05005376,4980,224.43,22.2
E05005377,5652,2239.27,2.5
E05005378,6175,976.92,6.3
E05005379,4087,1828.78,2.2
E05005380,1988,3725.12,0.5
E05005381,1970,2083.66,0.9
E05005382,6676,322.86,20.7
E05005383,3363,248.82,13.5
E05005384,1934,2971.38,0.7
E05005385,1522,557.68,2.7
E05005386,2148,2006.49,1.1
E05005387,4061,184.96,22
E05005388,2594,913.34,2.8
E05005389,5940,242.45,24.5
E05005390,4852,1046.55,4.6
E05005391,3581,5196.29,0.7
E05005392,4230,1590.74,2.7
E05005393,3506,260.03,13.5
E05005394,3563,177.92,20
E05005395,4025,87.82,45.8
E05005396,4011,378.24,10.6
E05005397,3759,117.71,31.9
E05005398,4223,134.78,31.3
E05005399,5418,98.29,55.1
E05005400,2293,3544.87,0.6
E05005401,5691,1458.9,3.9
E05005402,6381,222.88,28.6
E05005403,6112,401.52,15.2
E05005404,3974,190.19,20.9
E05005405,5951,180.46,33
E05005406,5906,145.79,40.5
E05005407,2035,5574.47,0.4
E05000865,7556,358.07,21.1
E05000866,6653,1049.71,6.3
E05000867,6837,576.29,11.9
E05000868,6626,169.88,39
E05000869,6587,682.82,9.6
E05000870,8726,417.14,20.9
E05000871,7261,422.18,17.2
E05000872,7076,143.96,49.2
E05000873,6673,163.11,40.9
E05000874,7604,151.84,50.1
E05000875,6535,1703.94,3.8
E05000876,7254,351.48,20.6
E05000877,7143,166.69,42.9
E05000878,6565,509.49,12.9
E05000879,6920,187.1,37
E05000880,7114,125.57,56.7
E05000881,6018,156.19,38.5
E05000882,6519,116.21,56.1
E05000883,6908,196.68,35.1
E05000884,7355,812.38,9.1
E05000885,5963,186.2,32
E05000886,14853,666.04,22.3
E05000887,14510,229.15,63.3
E05000888,15004,474.38,31.6
E05000889,20340,346.51,58.7
E05000890,13908,282.88,49.2
E05000891,13974,321.5,43.5
E05000892,15272,269.62,56.6
E05000893,14045,190.54,73.7
E05000894,14503,302.12,48
E05000895,14561,447.17,32.6
E05000896,14782,358.73,41.2
E05000897,16786,565.92,29.7
E05000898,16132,223.68,72.1
E05000899,15377,309.6,49.7
E05000900,16115,594.89,27.1
E05000901,13312,326.69,40.7
E05000902,13816,392.64,35.2
E05000903,15047,310.53,48.5
E05000904,16461,255.32,64.5
E05000905,17009,212.88,79.9
E05000906,17104,234.98,72.8
E05000907,18422,397.12,46.4
E05000908,12991,260.61,49.8
E05000909,20300,1233.2,16.5
E05000910,16489,231.95,71.1
E05000911,16481,303.65,54.3
E05000912,14772,285.11,51.8
E05000913,14382,359.61,40
E05000914,12921,382.01,33.8
E05000915,16746,415.32,40.3
E05000932,12102,820.33,14.8
E05000933,13161,317.63,41.4
E05000934,11280,483.2,23.3
E05000935,11877,806.29,14.7
E05000936,12068,339.87,35.5
E05000937,12360,220.19,56.1
E05000938,13333,950.16,14
E05000939,12731,268.94,47.3
E05000940,11780,1046.85,11.3
E05000941,12631,385.27,32.8
E05000942,12305,530.43,23.2
E05000943,11231,265.85,42.2
E05000944,12497,1255.39,10
E05000945,12425,768.72,16.2
E05000946,12763,1256.36,10.2
E05000947,12653,428.28,29.5
E05000948,14852,373.52,39.8
E05000949,11894,1420.94,8.4
E05000950,12065,2340.1,5.2
E05000951,11849,285.32,41.5
E05000952,12681,534.28,23.7
E05000953,13252,215.69,61.4
E05000916,11080,1426.7,7.8
E05000917,10639,316.67,33.6
E05000918,9759,1839.86,5.3
E05000919,10830,427.84,25.3
E05000920,11525,1013.01,11.4
E05000921,11416,1047.84,10.9
E05000922,10682,570.03,18.7
E05000923,11203,751,14.9
E05000924,12199,444.96,27.4
E05000925,7779,2672.26,2.9
E05000926,10853,662.49,16.4
E05000927,12003,347.12,34.6
E05000928,12280,349.09,35.2
E05000929,10978,776.83,14.1
E05000930,11392,266,42.8
E05000931,10690,726.55,14.7
E05000954,15768,967.4,16.3
E05000955,15216,671.87,22.6
E05000956,15879,389.11,40.8
E05000957,14850,764.44,19.4
E05000958,14411,2378.82,6.1
E05000959,14705,445.23,33
E05000960,13882,774.17,17.9
E05000961,13991,928.46,15.1
E05000962,13401,1201.45,11.2
E05000963,13348,1016.61,13.1
E05000964,14640,618.57,23.7
E05000965,15574,219.79,70.9
E05000966,13988,524.61,26.7
E05000967,14859,233.91,63.5
E05000968,14232,320.27,44.4
E05000969,13007,1027.17,12.7
E05000970,14488,392.46,36.9
E05000971,14298,297.9,48
E05000972,15387,327.57,47
E05000973,16130,509.32,31.7
E05000974,14996,443.75,33.8
E05000975,12733,1252.06,10.2
E05001687,14320,21647.35,0.7
E05001688,10849,4984.11,2.2
E05001689,13166,2176.46,6
E05001690,14784,823.38,18
E05001691,8730,993.57,8.8
E05001692,8919,486.44,18.3
E05001693,17874,8981.93,2
E05001694,15199,13963.85,1.1
E05001695,14334,38252.08,0.4
E05001696,10711,460.18,23.3
E05001697,10099,556.31,18.2
E05001698,15000,572.04,26.2
E05001699,4865,2185.13,2.2
E05001700,14888,26195.49,0.6
E05001701,13836,21876.25,0.6
E05001702,16240,2093.71,7.8
E05001703,10158,6545.9,1.6
E05001704,16102,6548.62,2.5
E05001705,15828,1021.07,15.5
E05001706,9725,12976.9,0.7
E05001707,14893,19120.24,0.8
E05001708,9871,2782.07,3.5
E05001709,14473,5405.6,2.7
E05001710,9794,514.66,19
E05001711,13578,1042.82,13
E05001712,15943,38561.49,0.4
E05001664,13226,213.23,62
E05001665,8503,234.41,36.3
E05001666,12120,225.02,53.9
E05001667,10330,427.17,24.2
E05001668,8203,185.82,44.1
E05001669,8270,276.74,29.9
E05001670,11290,204.63,55.2
E05001671,12725,402.14,31.6
E05001672,13240,445.67,29.7
E05001673,11905,347.24,34.3
E05001674,9825,453.82,21.6
E05001675,11721,247.31,47.4
E05001676,13633,856.93,15.9
E05001677,15687,465.93,33.7
E05001678,11167,234.22,47.7
E05001679,12111,201,60.3
E05001680,14002,240.6,58.2
E05001681,11293,388.67,29.1
E05001682,8099,282.78,28.6
E05001683,8096,195.4,41.4
E05001684,7968,89.72,88.8
E05001685,12649,280.86,45
E05001686,10343,245.61,42.1
E05001713,11770,213.6,55.1
E05001714,11835,268.88,44
E05001715,9828,491.83,20
E05001716,10002,476.34,21
E05001717,12013,370.45,32.4
E05001718,10848,1485.24,7.3
E05001719,11507,4158.24,2.8
E05001720,12173,403.65,30.2
E05001721,10408,328.17,31.7
E05001722,12789,192.4,66.5
E05001723,12728,286.33,44.5
E05001724,7017,1742.26,4
E05001725,7754,364.52,21.3
E05001726,7440,8109.83,0.9
E05001727,11504,292.75,39.3
